Num Particles,Time (s),% Speedup to MATLAB,% Speedup to 1 Thread,Times faster than MATLAB
25,1.78,94.16909621,-2.771362587,17.15
25,3.4,91.31545338,-42.25941423,11.51470588
25,5.23,92.40708479,-33.41836735,13.17017208
50,2.81,90.7950339,5.067567568,10.86370107
50,4.77,94.06897889,-46.3190184,16.86050314
50,8.51,93.9709956,-49.42932397,16.58648649
100,5.71,94.04935595,14.2513891,16.80490368
100,6.6,95.66417028,8.460471567,23.06363636
100,11.73,96.17581472,0.8453085376,26.14936061
150,4.92,96.94978301,32.23140496,32.78455285
150,9.77,95.01199775,22.7056962,20.04810645
150,13.93,96.41007139,16.48681055,27.85570711
200,5.88,96.25623166,24.32432432,26.71105442
200,10.46,95.84219418,8.4303598,24.05114723
200,22.42,95.09998907,-6.457739791,20.40811775